evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
Tercera reunión del Grupo de trabajo sobre Justicia (En carácter de Subsecretaria de Acceso a la Justicia);HOLANDA;Rodríguez María Fernanda;Secretaria de Justicia;Secretaría de Justicia;Gobierno de Holanda;2019-02-04;2019-02-10
Reunión del Comité de Finanzas de la Autoridad Internacional de Fondos Marinos en la 25° Sesión;JAMAICA;Armas Pfirter Frida María;Coordinadora General;Ministerio de Relaciones Exteriores y Culto;Autoridad Internacional de Fondos Marinos;2019-07-06;2019-07-12
“Reunión Extraordinaria del Consejo Directivo del CLAD y de la Comisión de Programación y Evaluación 2019”;CUBA;LEGORBURU PABLO MARTIN;Secretario de Empleo Público;Secretaría de Empleo Público;Centro Latinoamericano de Administración para el Desarrollo (Clad);2019-06-27;2019-06-29
“Sexto Informe Perspectivas del Medio Ambiente Mundial GEO- 6”;KENIA;CHERVIN Mariela;Subsecretaria;Secretaría de Gobierno de Ambiente y Desarrollo Sustentable;ONU – Medio Ambiente;2019-01-19;2019-01-25
Asamblea de las Naciones Unidas para el Medio Ambiente (UNEA4);KENIA;CHERVIN Mariela;Subsecretaria;Secretaría de Gobierno de Ambiente y Desarrollo Sustentable;Oficina de América Latina y el Caribe del PNUMA;2019-03-09;2019-03-17
"“Asamblea de la Alianza Mundial para los Edificios y la Construcción 2019"" (GLOBAL ABC)";CANADÁ;BERGMAN SERGIO ALEJANDRO;SECRETARIO;Secretaría de Gobierno de Ambiente y Desarrollo Sustentable;Alianza Global para la Construcción - Alliance for Buildings and Construction (GlobalABC);2019-02-19;2019-02-28
"""Taller Regional EUROCLIMA+""";ECUADOR;HOLZMAN PATRICIA;Responsable de la Unidad de Coordinación General.;Secretaría de Gobierno de Ambiente y Desarrollo Sustentable;PROGRAMA EUROCLIMA+;2019-04-01;2019-04-05
Participar de la “Reunión de Constituyentes del Cono Sur” y la “56º Reunión del Consejo del FMAN (GEF)”;ESTADOS UNIDOS;HOLZMAN PATRICIA;RESPONSABLE DE UNIDAD DE COORDINACIÓN GENRAL;Secretaría de Gobierno de Ambiente y Desarrollo Sustentable;FONDO MUNDIAL PARA EL MEDIO AMBIENTE;2019-06-06;2019-06-11
50° Reuniones de Organos Subsidiarios de la Convención Marco de las Naciones Unidas sobre el Cambio Climático.;ALEMANIA;Levaggi Marcia;Directora de Asuntos Ambientales;Administración Pública Nacional;Secretaría de la Convención Marco de las Naciones Unidas sobre el Cambio Climático;2019-06-15;2019-06-28
Consejo 56;ESTADOS UNIDOS;Lardone Maria Julia;asesor;Dirección de Asuntos Ambientales;FONDO PARA EL MEDIO AMBIENTE MUNDIAL;2019-06-09;2019-06-14
Implementing debt management strategies;AUSTRIA;Hervera Matias;Coordinador;Ministerio de Hacienda;Banco Mundial;2019-06-08;2019-06-17
Reunión de la Colaboración Internacional del Observatorio Pierre Auger;HOLANDA;Allekotte Ingomar;Gerente de Área;Subsecretaría de Energía Nuclear;Colaboración Internacional del Observatorio Pierre Auger - Fundación Ahuekna;2019-06-22;2019-06-30
Presentación de Proyecto proyecto “IMPLEMENTATION OF THE GUARANI AQUIFER STRATEGIC ACTION PROGRAM: ENABLING REGIONAL ACTIONS” (PSAGII).;URUGUAY;García Espil Javier;Director Nacional;Secretaría de Política Ambiental en Recursos Naturales;Fondo para el Medio Ambiente Mundial;2019-02-26;2019-05-27
"Cuarta Asamblea de Las Naciones Unidas para el Medio Ambiente bajo el tema ""Soluciones innovadoras para los desafíos ambientales y el consumo y la producción sostenibles""";KENIA;TREBINO JUAN;Subsecretario;Subsecretaría de Fiscalización y Recomposición;Proyecto PNUD Arg. 16/002;2019-03-09;2019-03-18
Misión sobre Áreas Marinas Protegidas y sector pesquero;AUSTRALIA;García Espil Javier;Director Nacional;Secretaría de Política Ambiental en Recursos Naturales;Fundación Banco de Bosques para el Manejo Sustentable de los Recursos Naturales y Conservación de los Ecosistemas Naturales;2019-04-26;2019-05-05
Lanzamiento del Atlas de Glaciares y Aguas Andinos;CHILE;García Espil Javier;Director Nacional;Secretaría de Política Ambiental en Recursos Naturales;UNESCO Programa Hidrológico Internacional para América Latina y el Caribe (PHI-LAC).;2019-01-24;2019-01-25
VII Diálogo Regional de Políticas de Licenciamiento y Fiscalización Ambiental;COSTA RICA;PIÑERA MARIA CELESTE;DIRECTORA NACIONAL DE EVALUACIÓN AMBIENTAL;Dirección Nacional de Evaluación Ambiental;BANCO INTERAMERICANO DE DESARROLLO;2019-06-16;2019-06-21
3ª Conferencia Ministerial de la Alianza para la Acción sobre una Economía Verde”;SUDÁFRICA;PIÑERA MARIA CELESTE;DIRECTORA NACIONAL DE EVALUACIÓN AMBIENTAL;Dirección Nacional de Evaluación Ambiental;PARTNERSHIP FOR ACTION ON GREEN ECONOMY- Naciones Unidas;2019-01-08;2019-01-12
Reunión del comité ejecutivo del marco decenal de programas sobre consumo y producción sostenibles.;FRANCIA;Gentile Carlos Bruno;Secretario;Secretaría de Gobierno de Ambiente y Desarrollo Sustentable;Programa de las Naciones Unidas para el Medio Ambiente;2019-05-21;2019-05-25
REUNIONES DE TRABAJO CON COLEGAS;ALEMANIA;Proetto César Ramón;INVESTIGADOR;Subsecretaría de Energía Nuclear;INSTITUTO MAX PLANCK;2019-05-29;2019-06-20
Pasantía a Europa como parte de la “Plataforma EU- CELAC INNOV-AL, promoción de políticas de innovación descentralizadas en países de la CELAC”;ESPAÑA;Gibert Gustavo Andrés;Asesor;Ministerio del Interior, Obras Públicas y Vivienda;Unión Europea;2019-05-04;2019-05-12
Asamblea de ONU Habitat;KENIA;Klemensiewicz Marina;Secretaria de Infraestructura Urbana;Administración Pública Nacional;ONU Habitat;2019-05-24;2019-06-01
ASAMBLEA ONU HABITAT;KENIA;Parma Tamara;Asesora asuntos internacionales;Administración Pública Nacional;ONU Habitat;2019-05-25;2019-06-01
Reunión de la Comisión Jurídica y Técnica de la Autoridad Internacional de los Fondos Marinos;JAMAICA;Mainero Martín Juan;Consejero;Ministerio de Relaciones Exteriores y Culto;Autoridad Internacional de los Fondos Marinos;2019-06-30;2019-07-14
Taller cerrado sobre areas marinas protegidas (AMP);ESTADOS UNIDOS;Mainero Martín Juan;Consejero;Ministerio de Relaciones Exteriores y Culto;Woodrow Wilson International Center for Scholars;2019-06-25;2019-06-28
Fui designada por el Señor Ministro de esta Cartera de Estado para asistir a las tres reuniones relacionadas con el Programa Iberoamericano de Acceso a la Justicia (PIAJ), la línea de trabajo de la COMJIB Acceso a la Justicia y el Comité de Género.;CHILE;CARPINTERO Karina Graciela;Asesora;Ministerio de Justicia y Derechos Humanos;Conferencia de Ministros de Justicia de los Países Iberoamericanos (COMJIB);2019-06-09;2019-06-15
8° Seminario PyMes Córdoba;ARGENTINA;Hallak Juan Carlos;Subsecretario de Inserción Internacional;Secretaría de Comercio Exterior;El Cronista Comercial S.A;2019-06-11;2019-06-12
ICT Korea Learning Program;COREA DEL SUR;Barrague Santiago;Director de Tramitación a Distancia;Secretaría de Gobierno de Modernización;NIA;2019-05-17;2019-05-26
9ª Reunión del Grupo Internacional de Trabajo de Cartografía de Hielo sobre Modelación, Asimilación y Verificación de Datos del Hielo Marino;ALEMANIA;Scardilli Alvaro Santiago;Jefe Departamento Meteorología;Servicio de Hidrografía Naval;Grupo Internacional de Trabajo de Cartografía de Hielo;2019-06-15;2019-06-21
Segundo Taller hacia la conformación de la Red Federal de Asistencia a Varamientos de Fauna Marina;ARGENTINA;PIMPER LIDA ELENA;PROFESIONAL TECNICO (Dirección Regional Patagonia Austral - DNC);Administración de Parques Nacionales;Organización de las Naciones Unidas para la Alimentación y la Agricultura - FAO;2019-06-12;2019-06-15
Parada Progamada C.N.Angra II Brasil;BRASIL;Mendizabal Cristian Daniel;Tecnico especialista CNA;Subsecretaría de Energía Nuclear;Protocolo de Coop Tecnica Eletronuclear - NASA;2019-04-24;2019-05-20
Parada Progamada C.N.Angra II Brasil;BRASIL;Pipke Adrian Nestor;Tecnico especialista;Subsecretaría de Energía Nuclear;Protocolo de Coop Tecnica Eletronuclear - NASA;2019-04-24;2019-05-20
Parada Progamada C.N.Angra II Brasil;BRASIL;Ribes German Geronimo;Tecnico especialista CNA;Subsecretaría de Energía Nuclear;Protocolo de Coop Tecnica Eletronuclear - NASA;2019-04-24;2019-05-20
Parada Progamada C.N.Angra II Brasil;BRASIL;Pineda Cristian Javier;Tecnico especialista CNA;Subsecretaría de Energía Nuclear;Protocolo de Coop Tecnica Eletronuclear - NASA;2019-04-24;2019-05-20
Parada Progamada C.N.Angra II Brasil;BRASIL;Gonzalez Juan Jose;Tecnico especialista CNA;Subsecretaría de Energía Nuclear;Protocolo de Coop Tecnica Eletronuclear - NASA;2019-04-24;2019-05-20
Parada Progamada C.N.Angra II Brasil;BRASIL;Gonzalez Gerardo Martin;Tecnico especialista CNA;Subsecretaría de Energía Nuclear;Protocolo de Coop Tecnica Eletronuclear - NASA;2019-04-24;2019-05-20
Conferenicas de las Partes de los Convenios de Basilea, Rotterdam y Estocolmo;SUIZA;Grimalt Maria Florencia;Secretario de 3ra;Ministerio de Relaciones Exteriores y Culto;Secretaría de los Convenios;2019-04-27;2019-05-12
"Course on ""Magnetic Crystallography"" of the International School of Crystallography";ITALIA;Aurelio Gabriela;Investigador;Subsecretaría de Energía Nuclear;International Union of Pure and Applied Physics;2019-05-30;2019-06-12
LOOP: Semana de la Innovación;URUGUAY;Kelly Matías;SECRETARIO;Ministerio de Salud y Desarrollo Social;Universidad Cátolica del Uruguay;2019-07-30;2019-07-31
Taller de Formación de Formadores del Curso de Gestión Moderna de Puertos (UNCTAD) - Acuerdo Específico para la Asistencia Técnica (Valenciaport);ESPAÑA;Peri Brusa Matías;Gerente;Administración General de Puertos;Valenciaport;2019-04-06;2019-04-13
"Conferencia Internacional de Uranio 2019 ""Uranio y el futuro""";AUSTRALIA;FRANZONI LAUTHIER María Eugenia;Profesional Geóloga;Subsecretaría de Energía Nuclear;Organismo Internacional de Energía Atómica;2019-06-01;2019-06-08
5to Taller de recursos hídricos en países en desarrollo: modelado hidroclimático y herramientas de análisis;ITALIA;Díaz Gonzalo;Profesional especializado en servicios hidroclimáticos;Servicio Meteorológico Nacional;International Centre for Theoretical Physics;2019-05-26;2019-06-10
Conferencia Internacional: Integración de Bolivia al Océano Atlántico a través de Puerto Busch y la Hidrovía de Paraguay – Paraná;BOLIVIA;Mórtola Gonzalo;Interventor;Administración General de Puertos;Ministerio de Gobierno;2019-05-28;2019-05-31
"""Taller técnico sobre avances en las políticas públicas para la reducción de la pobreza multidimensional en América Latina y el Caribe""";PARAGUAY;Lembersky Wainstein Vanesa Ariana;Técnica;Ministerio de Salud y Desarrollo Social;Sistema Económico Latinoamericano y del Caribe (SELA);2019-06-02;2019-06-05
"""Cumbre Mundial de la Asociación de Gobierno Abierto de 2019, Open Government Partnership (OGP)""";CANADÁ;Canzobre Heidi Marina;Directora Nacional;Instituto Nacional de las Mujeres;BID;2019-05-25;2019-06-03
CUMBRE INTERNACIONAL TECNICA DEL VINO 2019 Y VISITA AL DPTO. DE VITICULTURA Y ENOLOGIA DE LA UNIVERSIDAD DE CALIFORNIA DAVIS;ESTADOS UNIDOS;MANZANO MANUEL HUMBERTO;SUBGERENTE DE INVESTIGACIÓN PARA LA FISCALIZACIÓN;Instituto Nacional de Vitivinicultura;INSTITUTO DEL VINO EN CALIFORNIA;2019-06-01;2019-06-09
"ASISTIR AL WORKSHOP ""ENERGY LITERACY"" Y EXPONER EN LA XXVIII LA JOLLA ENERGY CONFERENCE";ESTADOS UNIDOS;Chambouleyron Andres;Presidente;Ente Nacional Regulador de la Electricidad;Institute of The Americas;2019-05-19;2019-05-26
XV TALLER INTERNACIONAL SOBRE FENOMENOS DE SEPARACIÓN EN LIQUIDOS Y GASES (SPLG 2019);CHINA;LAMAGNA ALBERTO;VICEPRESIDENTE;Administración Pública Nacional;FUNDACIÓN JOSE A. BALSEIRO;2019-05-10;2019-05-20
Taller de formación y capacitación;ITALIA;Pérez Martín;Becario;Subsecretaría de Energía Nuclear;International Centre for Theoretical Phisics (ICTP);2019-05-11;2019-06-09
Seminario sobre tendencias internacionales de regulacion y supervición financiera en iberoamerica;COLOMBIA;MAPIS MARIA EUGENIA;ASESOR LEGAL;Comisión Nacional de Valores;Instituto Iberoamericano de Mercado de Valores;2019-06-03;2019-06-08
Estadía Científica en Univ. Loránd Eötvos;HUNGRÍA;LARIA Daniel Héctor;Investigador;Comisión Nacional de Energía Atómica;Oficina Nacional de Investigaciones, Desarrollo e Innovación de Hungría;2019-03-01;2019-05-29
2° Reunión de las Partes del Acuerdo sobre Medidas del Estado Rector del Puerto y en la 3° Reunión del Grupo de Trabajo establecido en virtud de la Parte 6 (Participación de Argentina en calidad de observador);CHILE;MAINERO MARTIN;Consejero;Ministerio de Relaciones Exteriores y Culto;The Pew Charitable Trusts;2019-06-02;2019-06-08
Redaccion del nuevo informe de seguridad SRS 57;AUSTRIA;Ranalli Juan Manuel;Gerente;Gerencia Coordinación de Proyectos CNEA-NASA;IAEA;2019-05-26;2019-05-31
"""EL DESARROLLO INFANTIL EN AMERICA LATINA: DESAFÍOS PARA LA MEDICIÓN Y RESPUESTAS DE LAS POLITICAS""";URUGUAY;Quesada Javier Alejandro;Subsecretario;Ministerio de Salud y Desarrollo Social;Diálogo Interamericano;2019-05-26;2019-05-28
Capacitación;FRANCIA;Depaoli Eliana Leticia;Investigadora;Ministerio de Hacienda;Commissariat à l’énergie atomique et aux énergies alternatives;2019-05-10;2019-06-02
Foro de Reguladores Regionales de la red BEST (Bradband Environment for Sustainable Transformation) del BID y al Congreso del Instituto Internacional de Comunicaciones (IIC),;ESTADOS UNIDOS;HUICI HECTOR MARIA;SECRETARIO;Administración Pública Nacional;BID;2019-05-14;2019-05-18
Conferencia CReCER 2019 “Rendición de Cuentas para Maximizar las Finanzas para el Desarrollo”;COSTA RICA;AYALA FABIANA;Directora Nacional de Servicios Digitales;Secretaría de Gobierno Digital e Innovación Tecnológica;World Banck;2019-05-20;2019-05-23
83° Reunión del Comité Ejecutivo del Fondo Multilateral para la Implementación del Protocolo de Montreal relativo a las Sustancias que Agotan la Capa de Ozono;CANADÁ;Parodi María Antonella;Secretario de Embajada y Consul de Tercera Clase;Ministerio de Relaciones Exteriores y Culto;Fondo Multilateral;2019-05-25;2019-06-02
CAPACITACIÓN ÁREAS MARINAS PROTEGIDAS Y SECTOR PESQUERO;AUSTRALIA;LABOUGLE JOAQUÍN QUINTO;Director Nacional de Áreas Marina Protegidas;Administración de Parques Nacionales;FUNDACIÓN BANCO DE BOSQUES PARA EL MANEJO SUSTENTABLE DE LOS RECURSOS NATURALES Y CONSERVACIÓN DE LOS ECOSISTEMAS NATURALES;2019-04-26;2019-05-05
“Reunión Técnica sobre Sistemas de Adquisición de Datos Utilizados para Instrumentación Nuclear en Instalaciones de Aceleradores de Partículas”;AUSTRIA;Lipovetzky Jose;Investigador;Gerencia de Área Investigación y Aplicaciones No Nucleares;IAEA;2019-05-25;2019-06-01
TALLER TÉCNICO SOBRE LA APLICACIÓN DE UNA DEFINICIÓN GLOBAL DE CIUDADES / URBANOS Y RURALES;PERÚ;PAPA ANA MARIA;Coordinadora del Sistema Geoestadístico;Instituto Nacional de Estadística y Censos;(ONU-Hábitat) PROGRAMA NACIONES UNIDAS PARA LOS ASENTAMIENTOS HUMANOS;2019-06-24;2019-06-29
"Tercera Sesión sustantiva del Grupo de Trabajo de Composición Abierta creado por la Res. 72/277, titulada ""Hacia un Pacto Global por el Ambiente"".";KENIA;Jorge Ignacio Frechero;Secretario de embajada y cónsul de tercera clase - Analista;Ministerio de Relaciones Exteriores y Culto;United Nations Environment Programme;2019-05-17;2019-05-23
"""Reunión Técnica sobre la Situación Actual y los Avances en materia de Gestión de Desechos Radiactivos de Reactores de Investigación”.";AUSTRIA;Ferrero Valeria Cristina;Operadora;Comisión Nacional de Energía Atómica;IAEA;2019-05-18;2019-05-25
Reunión Internacional sobre la Calificación de Equipos de Instalaciones Nucleares;CHEQUIA;Yllañez Daniela;Analista;Comisión Nacional de Energía Atómica;IAEA;2019-05-18;2019-05-25
Foro Internacional de Gestión y Desempeño para la Innovación Pública;COLOMBIA;RIVERO DIEGO HERNAN;Dirección Nacional;Secretaría de Gobierno de Modernización;Centro Latinoamericano de Administración para el Desarrollo;2019-05-22;2019-05-27
"convenio ""ACUERDO ESPECÍFICO PARA LA ASISTENCIA TÉCNICA: DISEÑO DE UN SISTEMA PCS Y REVISIÓN DE LA PLANIFICACIÓN DE SISTEMAS Y TECNOLOGÍAS DE INFORMACIÓN DEL PUERTO BUENOS AIRES""";ESPAÑA;Colombo Roque Eugenia;Subgerente de la Coordinación de Gestión Administrativa y Legal;Administración General de Puertos;Valenciaport;2019-04-06;2019-04-13
RTM USA ARG;ESTADOS UNIDOS;Tomasetti Fabian;DN ONTI;Oficina Nacional de Tecnologías de Información;US TRADE;2019-05-11;2019-05-23
BECA FULLBRIGH;ESTADOS UNIDOS;FEDERICO TERUEL;INVESTIGADOR;Comisión Nacional de Energía Atómica;MINISTERIO DE EDUCACIÓN;2019-01-03;2019-04-07
ENCUENTRO TÉCNICO EN EL MODELADO DEL COMPORTAMIENTO DEL COMBUSTIBLE EN ACCIDENTES DE BASE DE DISEÑO Y EXTENSIÓN DE CONDICIONES DE DISEÑO;CHINA;LEMES LAPASTA MARTÍN RODOLFO;INVESTIGADOR;Ministerio de Hacienda y Finanzas Públicas;IAEA;2019-05-09;2019-05-20
Encuentro de la Red de Transparencia y Acceso a la Información (RTA);BRASIL;Braguinsky Eugenia;Directora nacional de Acceso a la Información Pública;Agencia de Acceso a la Información Pública;EUROSOCIAL;2019-05-13;2019-05-17
REUNION ANUAL DE BIGDATA;CHILE;GREGORI FIADINO CARLOS ALEJANDRO;DIRECTOR DE SERV ANALITICOS;Jefatura de Gabinete de Ministros;FUNDACION RICALDONI;2019-05-01;2019-05-04
Foro de Autoridades Iberoamericanas de protección de Datos Personales;COLOMBIA;Cimato Eduardo Hernán;Director Nacional de Protección de Datos Personales;Agencia de Acceso a la Información Pública;Red Iberoamericana de Protección de Datos;2019-05-14;2019-05-18
11 reunión del Comité de Estrategia de Financiamiento del Tratado Internacional sobre Recursos Genéticos para la Alimentación y la Agricultura;ITALIA;Altavista Manrique;Consejero;Ministerio de Relaciones Exteriores y Culto;FAO;2019-05-06;2019-05-11
PPP-SERA meeting. WWRP/WMO;CHILE;CHASCO MARIA JULIA;Responsable de Departamento;Gerencia de Servicios a la Comunidad;Organizacion Meteorologica Mundial;2019-04-07;2019-05-11
